index1,index2,min_long,min_lat,max_long,max_lat,commercial,education,entertainment,financial,food,government,health,hotel,office,scenic,sports,transport,label
8,90,121.32718719495698,30.706372864236755,121.33241705267872,30.71086947226635,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
8,91,121.33241705267872,30.706372864236755,121.33764691040047,30.71086947226635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
8,92,121.33764691040047,30.706372864236755,121.34287676812221,30.71086947226635,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Shanghai
8,93,121.34287676812221,30.706372864236755,121.34810662584395,30.71086947226635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Shanghai
9,91,121.33243923776122,30.71086947226635,121.33766933927508,30.715366080295944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
9,92,121.33766933927508,30.71086947226635,121.34289944078894,30.715366080295944,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,Shanghai
9,93,121.34289944078894,30.71086947226635,121.3481295423028,30.715366080295944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
10,90,121.32723108248227,30.715366080295944,121.33246142784319,30.719862688325538,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
10,91,121.33246142784319,30.715366080295944,121.3376917732041,30.719862688325538,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
10,92,121.3376917732041,30.715366080295944,121.34292211856501,30.719862688325538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
10,93,121.34292211856501,30.715366080295944,121.34815246392593,30.719862688325538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
11,88,121.31679185513839,30.719862688325538,121.32202244440133,30.724359296355132,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
11,90,121.32725303366426,30.719862688325538,121.3324836229272,30.724359296355132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
11,91,121.3324836229272,30.719862688325538,121.33771421219014,30.724359296355132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
11,93,121.34294480145307,30.719862688325538,121.34817539071601,30.724359296355132,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
12,86,121.30635165691363,30.724359296355132,121.31158249013356,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
12,87,121.31158249013356,30.724359296355132,121.31681332335349,30.728855904384726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
12,88,121.31681332335349,30.724359296355132,121.32204415657341,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
12,89,121.32204415657341,30.724359296355132,121.32727498979334,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Shanghai
12,90,121.32727498979334,30.724359296355132,121.33250582301326,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
12,91,121.33250582301326,30.724359296355132,121.33773665623319,30.728855904384726,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Shanghai
12,92,121.33773665623319,30.724359296355132,121.34296748945312,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
12,93,121.34296748945312,30.724359296355132,121.34819832267304,30.728855904384726,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
12,94,121.34819832267304,30.724359296355132,121.35342915589297,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Shanghai
12,95,121.35342915589297,30.724359296355132,121.3586599891129,30.728855904384726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
12,98,121.36912165555275,30.724359296355132,121.37435248877267,30.728855904384726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai
13,88,121.31683479640573,30.728855904384726,121.32206587363761,30.73335251241432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Shanghai
13,89,121.32206587363761,30.728855904384726,121.3272969508695,30.73335251241432,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
13,90,121.3272969508695,30.728855904384726,121.33252802810138,30.73335251241432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
13,91,121.33252802810138,30.728855904384726,121.33775910533326,30.73335251241432,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai
